Freq.	V(n004)
1.99526231496888e+001	(2.20715312562850e+002dB,1.72814114044410e+002°)
2.23872113856833e+001	(2.20697752835087e+002dB,1.71948188332155e+002°)
2.51188643150957e+001	(2.20675746925318e+002dB,1.70981010249914e+002°)
2.81838293126445e+001	(2.20648200740325e+002dB,1.69901979334040e+002°)
3.16227766016837e+001	(2.20613768748900e+002dB,1.68699877749737e+002°)
3.54813389233575e+001	(2.20570806028562e+002dB,1.67363039149458e+002°)
3.98107170553496e+001	(2.20517316571522e+002dB,1.65879614524869e+002°)
4.46683592150962e+001	(2.20450900766759e+002dB,1.64237962433795e+002°)
5.01187233627271e+001	(2.20368707032328e+002dB,1.62427191469468e+002°)
5.62341325190347e+001	(2.20267395223387e+002dB,1.60437878079311e+002°)
6.30957344480191e+001	(2.20143122483623e+002dB,1.58262969426541e+002°)
7.07945784384136e+001	(2.19991565083799e+002dB,1.55898855222094e+002°)
7.94328234724279e+001	(2.19807991451888e+002dB,1.53346551792908e+002°)
8.91250938133743e+001	(2.19587400488584e+002dB,1.50612887276158e+002°)
9.99999999999997e+001	(2.19324733607181e+002dB,1.47711516952638e+002°)
1.12201845430196e+002	(2.19015157512712e+002dB,1.44663550023741e+002°)
1.25892541179416e+002	(2.18654398055126e+002dB,1.41497559226134e+002°)
1.41253754462275e+002	(2.18239086912565e+002dB,1.38248797728504e+002°)
1.58489319246111e+002	(2.17767068604870e+002dB,1.34957573405743e+002°)
1.77827941003892e+002	(2.17237612514714e+002dB,1.31666908300803e+002°)
1.99526231496887e+002	(2.16651487499656e+002dB,1.28419788170952e+002°)
2.23872113856833e+002	(2.16010883413163e+002dB,1.25256417631381e+002°)
2.51188643150957e+002	(2.15319196018864e+002dB,1.22211894857898e+002°)
2.81838293126444e+002	(2.14580718243511e+002dB,1.19314606752999e+002°)
3.16227766016837e+002	(2.13800293208406e+002dB,1.16585467542647e+002°)
3.54813389233574e+002	(2.12982981287619e+002dB,1.14037946851436e+002°)
3.98107170553496e+002	(2.12133778981978e+002dB,1.11678709412984e+002°)
4.46683592150961e+002	(2.11257408799969e+002dB,1.09508637365283e+002°)
5.01187233627270e+002	(2.10358182763397e+002dB,1.07524017308559e+002°)
5.62341325190347e+002	(2.09439930883720e+002dB,1.05717722623080e+002°)
6.30957344480191e+002	(2.08505980437084e+002dB,1.04080281458450e+002°)
7.07945784384135e+002	(2.07559170849119e+002dB,1.02600774895378e+002°)
7.94328234724278e+002	(2.06601890710192e+002dB,1.01267550051270e+002°)
8.91250938133742e+002	(2.05636126332953e+002dB,1.00068758307678e+002°)
9.99999999999995e+002	(2.04663514301262e+002dB,9.89927419817627e+001°)
1.12201845430196e+003	(2.03685393097080e+002dB,9.80282973493780e+001°)
1.25892541179416e+003	(2.02702850933255e+002dB,9.71648413443072e+001°)
1.41253754462275e+003	(2.01716768370894e+002dB,9.63925060470975e+001°)
1.58489319246111e+003	(2.00727855256539e+002dB,9.57021808963730e+001°)
1.77827941003891e+003	(1.99736682097417e+002dB,9.50855183609299e+001°)
1.99526231496887e+003	(1.98743706313738e+002dB,9.45349150736021e+001°)
2.23872113856833e+003	(1.97749293954644e+002dB,9.40434773215774e+001°)
2.51188643150957e+003	(1.96753737504514e+002dB,9.36049773223164e+001°)
2.81838293126444e+003	(1.95757270384521e+002dB,9.32138048210694e+001°)
3.16227766016836e+003	(1.94760078700372e+002dB,9.28649171287862e+001°)
3.54813389233573e+003	(1.93762310719802e+002dB,9.25537896800384e+001°)
3.98107170553495e+003	(1.92764084493710e+002dB,9.22763684422545e+001°)
4.46683592150961e+003	(1.91765493968868e+002dB,9.20290249778045e+001°)
5.01187233627269e+003	(1.90766613880862e+002dB,9.18085145919881e+001°)
5.62341325190346e+003	(1.89767503664429e+002dB,9.16119377487151e+001°)
6.30957344480189e+003	(1.88768210574576e+002dB,9.14367047685100e+001°)
7.07945784384134e+003	(1.87768772175277e+002dB,9.12805037159188e+001°)
7.94328234724277e+003	(1.86769218322330e+002dB,9.11412713175708e+001°)
8.91250938133740e+003	(1.85769572742195e+002dB,9.10171667151338e+001°)
9.99999999999994e+003	(1.84769854288514e+002dB,9.09065478399741e+001°)
1.12201845430196e+004	(1.83770077941712e+002dB,9.08079501919395e+001°)
1.25892541179416e+004	(1.82770255603969e+002dB,9.07200678087252e+001°)
1.41253754462275e+004	(1.81770396731294e+002dB,9.06417362215635e+001°)
1.58489319246110e+004	(1.80770508835980e+002dB,9.05719172052876e+001°)
1.77827941003891e+004	(1.79770597885958e+002dB,9.05096851446632e+001°)
1.99526231496887e+004	(1.78770668622168e+002dB,9.04542148532625e+001°)
2.23872113856832e+004	(1.77770724810755e+002dB,9.04047706954181e+001°)
2.51188643150956e+004	(1.76770769443450e+002dB,9.03606968755361e+001°)
2.81838293126443e+004	(1.75770804896782e+002dB,9.03214087720203e+001°)
3.16227766016836e+004	(1.74770833058565e+002dB,9.02863852051411e+001°)
3.54813389233573e+004	(1.73770855428386e+002dB,9.02551615393092e+001°)
3.98107170553494e+004	(1.72770873197439e+002dB,9.02273235303968e+001°)
4.46683592150960e+004	(1.71770887311939e+002dB,9.02025018379984e+001°)
5.01187233627269e+004	(1.70770898523502e+002dB,9.01803671309005e+001°)
5.62341325190345e+004	(1.69770907429164e+002dB,9.01606257215812e+001°)
6.30957344480188e+004	(1.68770914503171e+002dB,9.01430156723599e+001°)
7.07945784384133e+004	(1.67770920122232e+002dB,9.01273033219111e+001°)
7.94328234724275e+004	(1.66770924585576e+002dB,9.01132801863262e+001°)
8.91250938133739e+004	(1.65770928130890e+002dB,9.01007601937961e+001°)
9.99999999999992e+004	(1.64770930946973e+002dB,9.00895772163559e+001°)
1.12201845430195e+005	(1.63770933183791e+002dB,9.00795828660371e+001°)
1.25892541179416e+005	(1.62770934960460e+002dB,9.00706445262536e+001°)
1.41253754462274e+005	(1.61770936371595e+002dB,9.00626435923450e+001°)
1.58489319246110e+005	(1.60770937492344e+002dB,9.00554738979672e+001°)
1.77827941003891e+005	(1.59770938382390e+002dB,9.00490403064729e+001°)
1.99526231496886e+005	(1.58770939089131e+002dB,9.00432574486073e+001°)
2.23872113856832e+005	(1.57770939650204e+002dB,9.00380485897813e+001°)
2.51188643150956e+005	(1.56770940095488e+002dB,9.00333446119016e+001°)
2.81838293126443e+005	(1.55770940448695e+002dB,9.00290830962508e+001°)
3.16227766016835e+005	(1.54770940728636e+002dB,9.00252074952551e+001°)
3.54813389233572e+005	(1.53770940950218e+002dB,9.00216663821498e+001°)
3.98107170553494e+005	(1.52770941125242e+002dB,9.00184127685905e+001°)
4.46683592150959e+005	(1.51770941263027e+002dB,9.00154034811552e+001°)
5.01187233627268e+005	(1.50770941370912e+002dB,9.00125985884658e+001°)
5.62341325190344e+005	(1.49770941454641e+002dB,9.00099608713272e+001°)
6.30957344480187e+005	(1.48770941518675e+002dB,9.00074553288547e+001°)
7.07945784384131e+005	(1.47770941566422e+002dB,9.00050487140359e+001°)
7.94328234724274e+005	(1.46770941600425e+002dB,9.00027090925643e+001°)
8.91250938133737e+005	(1.45770941622495e+002dB,9.00004054190921e+001°)
9.99999999999990e+005	(1.44770941633808e+002dB,8.99981071252781e+001°)
1.12201845430195e+006	(1.43770941634966e+002dB,8.99957837141649e+001°)
1.25892541179415e+006	(1.42770941626030e+002dB,8.99934043555036e+001°)
1.41253754462274e+006	(1.41770941606525e+002dB,8.99909374766560e+001°)
1.58489319246110e+006	(1.40770941575412e+002dB,8.99883503436449e+001°)
1.77827941003891e+006	(1.39770941531034e+002dB,8.99856086267955e+001°)
1.99526231496886e+006	(1.38770941471029e+002dB,8.99826759452021e+001°)
2.23872113856832e+006	(1.37770941392199e+002dB,8.99795133839771e+001°)
2.51188643150955e+006	(1.36770941290348e+002dB,8.99760789778761e+001°)
2.81838293126442e+006	(1.35770941160051e+002dB,8.99723271544465e+001°)
3.16227766016835e+006	(1.34770940994370e+002dB,8.99682081293133e+001°)
3.54813389233572e+006	(1.33770940784481e+002dB,8.99636672455751e+001°)
3.98107170553493e+006	(1.32770940519207e+002dB,8.99586442485476e+001°)
4.46683592150958e+006	(1.31770940184422e+002dB,8.99530724862309e+001°)
5.01187233627267e+006	(1.30770939762297e+002dB,8.99468780248918e+001°)
5.62341325190343e+006	(1.29770939230352e+002dB,8.99399786680288e+001°)
6.30957344480186e+006	(1.28770938560259e+002dB,8.99322828657025e+001°)
7.07945784384130e+006	(1.27770937716334e+002dB,8.99236884997642e+001°)
7.94328234724273e+006	(1.26770936653634e+002dB,8.99140815288670e+001°)
8.91250938133736e+006	(1.25770935315568e+002dB,8.99033344752865e+001°)
9.99999999999989e+006	(1.24770933630878e+002dB,8.98913047334828e+001°)
1.12201845430195e+007	(1.23770931509849e+002dB,8.98778326779718e+001°)
1.25892541179415e+007	(1.22770928839530e+002dB,8.98627395454190e+001°)
1.41253754462274e+007	(1.21770925477718e+002dB,8.98458250628781e+001°)
1.58489319246110e+007	(1.20770921245386e+002dB,8.98268647907433e+001°)
1.77827941003890e+007	(1.19770915917150e+002dB,8.98056071452109e+001°)
1.99526231496886e+007	(1.18770909209270e+002dB,8.97817700608166e+001°)
2.23872113856831e+007	(1.17770900764534e+002dB,8.97550372488731e+001°)
2.51188643150955e+007	(1.16770890133243e+002dB,8.97250540023107e+001°)
2.81838293126442e+007	(1.15770876749266e+002dB,8.96914224914732e+001°)
3.16227766016834e+007	(1.14770859899893e+002dB,8.96536964887504e+001°)
3.54813389233571e+007	(1.13770838687890e+002dB,8.96113754524820e+001°)
3.98107170553493e+007	(1.12770811983731e+002dB,8.95638978922388e+001°)
4.46683592150958e+007	(1.11770778365465e+002dB,8.95106339283061e+001°)
5.01187233627266e+007	(1.10770736043023e+002dB,8.94508769478576e+001°)
5.62341325190342e+007	(1.09770682762940e+002dB,8.93838342488224e+001°)
6.30957344480186e+007	(1.08770615688427e+002dB,8.93086165497286e+001°)
7.07945784384129e+007	(1.07770531248423e+002dB,8.92242262297555e+001°)
7.94328234724272e+007	(1.06770424947619e+002dB,8.91295441477987e+001°)
8.91250938133734e+007	(1.05770291127375e+002dB,8.90233148724891e+001°)
9.99999999999987e+007	(1.04770122664866e+002dB,8.89041301368432e+001°)
1.12201845430195e+008	(1.03769910594539e+002dB,8.87704103116438e+001°)
1.25892541179415e+008	(1.02769643631889e+002dB,8.86203836709746e+001°)
1.41253754462274e+008	(1.01769307574471e+002dB,8.84520632019550e+001°)
1.58489319246109e+008	(1.00768884548638e+002dB,8.82632206893049e+001°)
1.77827941003890e+008	(9.97683520625919e+001dB,8.80513577849479e+001°)
1.99526231496885e+008	(9.87676818163387e+001dB,8.78136737550300e+001°)
2.23872113856831e+008	(9.77668382068518e+001dB,8.75470295838519e+001°)
2.51188643150955e+008	(9.67657764514620e+001dB,8.72479081097706e+001°)
2.81838293126442e+008	(9.57644402336957e+001dB,8.69123698771292e+001°)
3.16227766016834e+008	(9.47627587527642e+001dB,8.65360044179197e+001°)
3.54813389233571e+008	(9.37606430299548e+001dB,8.61138767373315e+001°)
3.98107170553492e+008	(9.27579812915970e+001dB,8.56404688828428e+001°)
4.46683592150957e+008	(9.17546332085287e+001dB,8.51096166468397e+001°)
5.01187233627265e+008	(9.07504227258918e+001dB,8.45144417150003e+001°)
5.62341325190341e+008	(8.97451291651816e+001dB,8.38472799635061e+001°)
6.30957344480185e+008	(8.87384762246221e+001dB,8.30996071762306e+001°)
7.07945784384128e+008	(8.77301184482032e+001dB,8.22619642616438e+001°)
7.94328234724270e+008	(8.67196246857888e+001dB,8.13238851778022e+001°)
8.91250938133733e+008	(8.57064580399031e+001dB,8.02738323179846e+001°)
9.99999999999986e+008	(8.46899518109327e+001dB,7.90991461756981e+001°)
1.12201845430195e+009	(8.36692810455800e+001dB,7.77860187991353e+001°)
1.25892541179415e+009	(8.26434295141963e+001dB,7.63195039316049e+001°)
1.41253754462273e+009	(8.16111523629350e+001dB,7.46835807965348e+001°)
1.58489319246109e+009	(8.05709354017563e+001dB,7.28612930201997e+001°)
1.77827941003890e+009	(7.95209531140825e+001dB,7.08349886612835e+001°)
1.99526231496885e+009	(7.84590291257524e+001dB,6.85866906797497e+001°)
2.23872113856831e+009	(7.73826051285009e+001dB,6.60986276343166e+001°)
2.51188643150954e+009	(7.62887270782151e+001dB,6.33539492674328e+001°)
2.81838293126441e+009	(7.51740606024034e+001dB,6.03376374707941e+001°)
3.16227766016833e+009	(7.40349502811850e+001dB,5.70375964116469e+001°)
3.54813389233570e+009	(7.28675386146288e+001dB,5.34458644242618e+001°)
3.98107170553491e+009	(7.16679583645563e+001dB,4.95598370704046e+001°)
4.46683592150956e+009	(7.04326047496930e+001dB,4.53833355877415e+001°)
5.01187233627265e+009	(6.91584806169711e+001dB,4.09273171961633e+001°)
5.62341325190341e+009	(6.78435891347696e+001dB,3.62100293103479e+001°)
6.30957344480184e+009	(6.64873286578062e+001dB,3.12564807238605e+001°)
7.07945784384127e+009	(6.50908297709788e+001dB,2.60972415938403e+001°)
7.94328234724269e+009	(6.36571720323830e+001dB,2.07667598897335e+001°)
8.91250938133732e+009	(6.21914310990726e+001dB,1.53015335172301e+001°)
9.99999999999985e+009	(6.07005330360622e+001dB,9.73853654505565e+000°)
1.12201845430195e+010	(5.91929234858630e+001dB,4.11422574338449e+000°)
1.25892541179415e+010	(5.76780856984171e+001dB,-1.53573555380252e+000°)
1.41253754462273e+010	(5.61659578432309e+001dB,-7.17614093338934e+000°)
1.58489319246109e+010	(5.46663071289512e+001dB,-1.27716045592274e+001°)
1.77827941003890e+010	(5.31881200758070e+001dB,-1.82860397327316e+001°)
1.99526231496885e+010	(5.17390677024054e+001dB,-2.36826280461344e+001°)
2.23872113856830e+010	(5.03251002334628e+001dB,-2.89244880369042e+001°)
2.51188643150954e+010	(4.89502141479413e+001dB,-3.39760152612337e+001°)
2.81838293126441e+010	(4.76164122867008e+001dB,-3.88046424086243e+001°)
3.16227766016833e+010	(4.63238479266366e+001dB,-4.33826372099924e+001°)
3.54813389233570e+010	(4.50711142240086e+001dB,-4.76885570174255e+001°)
3.98107170553491e+010	(4.38556206209887e+001dB,-5.17080958469098e+001°)
4.46683592150956e+010	(4.26739932459888e+001dB,-5.54342332190127e+001°)
5.01187233627264e+010	(4.15224461725128e+001dB,-5.88667557788289e+001°)
5.62341325190340e+010	(4.03970888119696e+001dB,-6.20113261349810e+001°)
6.30957344480183e+010	(3.92941545690079e+001dB,-6.48783068632836e+001°)
7.07945784384126e+010	(3.82101519081444e+001dB,-6.74815263414881e+001°)
7.94328234724268e+010	(3.71419489537470e+001dB,-6.98371229140340e+001°)
8.91250938133730e+010	(3.60868069859202e+001dB,-7.19625479738021e+001°)
1.00000000000000e+011	(3.50423783096726e+001dB,-7.38757611935715e+001°)
